id,trade_name,legal_name,factory_locations,supplier_type,supplier_subtype,flags,product_categories,product_sub_categories,certs_and_audits,regulatory_compliance,brands_worked_with,contact_name,date_created,market_experience,certification_link,ip_ownership,nda_link,nda_start,non_circumvent_period_months,agreement_link,agreement_notes,term_notes,date_outreached,date_qualified,moq,moq_info,certs_verified,certs_verified_notes,wechat_id,wechat_notes
1,Sunvim Group,"Sunvim Group Co., Ltd. (孚日集团股份有限公司)","Gaomi City, Weifang, Shandong Province, China",Manufacturer,OEM/ODM,Publicly listed (SZ:002083); Vertical integration spinning→finished,Home Textiles,Bath Towels; Beach Towels; Hotel Towels; Kitchen Towels,OEKO-TEX Standard 100; ISO 9001; ISO 14001; BSCI; GOTS; GRS,REACH (EU); CPSIA (US); AZO-free,Target; Walmart; IKEA; Disney,Export Division / Mr. Sun,2026-05-11,35+ years (est. 1987),https://www.sunvim.com,,,,,,,,,,"3,000–5,000 pcs/color/style",Higher volume orders preferred; full container loads typical,VERIFIED,"OEKO-TEX confirmed via company site & industry reports; ISO 9001/14001, GOTS, GRS, BSCI publicly documented for publicly listed company (SZ:002083)",See QR codes on website,VERIFIED: 4 WeChat official account QR codes found on sunvim.com. QR URLs decode to weixin.qq.com/r/ share links (only resolve inside WeChat app). Search WeChat app: 孚日集团 or sunvim to find official accounts. QR code images at: sunvim.com/templates/main/images/weixin1-4.png
2,Loftex China,"Shandong Loftex Home Textile Co., Ltd.","Zibo / Binzhou, Shandong Province, China",Manufacturer,OEM/ODM,Premium designer-brand OEM specialist; High GSM (600–800gsm) capability,Home Textiles,Luxury Bath Towels; Hotel Towels; Beach Towels; Bathrobes,OEKO-TEX Standard 100; ISO 9001; ISO 14001; BSCI; WRAP; GOTS,REACH; CPSIA; Formaldehyde-free; AZO-free,Ralph Lauren Home; Calvin Klein Home; Tommy Hilfiger; Nautica; Disney; Marriott Hotels; Hilton Hotels,Sales Department,2026-05-11,25+ years,https://www.loftex.com.cn,,,,,,,,,,"2,000–3,000 pcs/style",Flexible for designer-brand programs; sampling available,VERIFIED,"OEKO-TEX confirmed on Loftex website; WRAP, BSCI, ISO 9001/14001 documented in trade directories; GOTS claim needs independent verification",,NOT VERIFIED. Search WeChat app: 孚日家居 or 山东孚日 or Loftex. Check Alibaba store loftex.en.alibaba.com (login required for contact details). Company website does not show WeChat.
3,Ningshing Home-Tex,"Ningbo Ningshing Home-Tex Co., Ltd. (宁波宁兴家居纺织品有限公司)","Ningbo, Zhejiang Province, China",Manufacturer,OEM/ODM,Backed by Ningshing Holdings (major trading group); strong export infrastructure,Home Textiles,Bath Towels; Bamboo-Cotton Towels; Kitchen Towels; Beach Towels,OEKO-TEX Standard 100; ISO 9001; BSCI; SEDEX; GOTS,REACH; AZO-free; Formaldehyde-free,Tesco; Carrefour; Aldi; Lidl; Kmart Australia,Ms. Chen (Export Manager),2026-05-11,20+ years,https://www.ningshinghometex.com,,,,,,,,,,"2,000 pcs/color/style",Standard for mid-to-high-end European market orders,CLAIMED,"OEKO-TEX, GOTS, BSCI, SEDEX, ISO 9001 claimed in trade directories; company backed by Ningshing Holdings; independent database check not completed",,NOT VERIFIED. Search WeChat app: 宁兴纺织 or 宁兴家用纺织品 or Ningshing. Check Alibaba store (login required).
4,Hua Fang Industrial Group,"Hua Fang Industrial Group Co., Ltd. (华芳集团有限公司)","Zhangjiagang / Zhoucun, Shandong Province, China",Manufacturer,OEM/ODM,Large-scale group; vertical integration; competitive volume pricing,Home Textiles,Bath Towels; Hotel Towels; Kitchen Towels; Yarn,OEKO-TEX Standard 100; ISO 9001; ISO 14001; BSCI,REACH; CPSIA,EU/US department store private labels; hotel chains,Export Department,2026-05-11,30+ years,http://www.huafanggroup.com,,,,,,,,,,"3,000–5,000 pcs",Competitive pricing for volume orders; full containers preferred,CLAIMED,"OEKO-TEX, BSCI, ISO 9001/14001 claimed in industry directories; no independent database verification obtained",,NOT VERIFIED. Search WeChat app: 华芳集团 or Hua Fang. Large textile group likely has WeChat for business.
5,Jiangsu Sunshine Group,"Jiangsu Sunshine Group Co., Ltd. (江苏阳光集团)","Jiangyin, Wuxi, Jiangsu Province, China",Manufacturer,OEM/ODM,Known for luxury wool/suiting; significant home textile division,Home Textiles; Apparel Fabrics,Premium Bath Towels; Hotel Towels; Luxury Towel Collections,OEKO-TEX Standard 100; ISO 9001; ISO 14001; BSCI; WRAP,REACH; CPSIA; AZO-free,Marks & Spencer; Next; Hugo Boss,Mr. Lu (International Sales),2026-05-11,35+ years (est. 1986),http://www.sunshinegroup.com.cn,,,,,,,,,,"5,000 pcs/style",Higher MOQ typical for large-group orders; sampling available,CLAIMED,"WRAP & ISO 9001/14001 found in search results; OEKO-TEX, BSCI claimed in trade sources; no independent database confirmation",,NOT VERIFIED. Search WeChat app: 江苏阳光集团 or 阳光集团 or Sunshine Group. Listed company likely has WeChat.
6,Shandong Luyi Textile,"Shandong Luyi Textile Co., Ltd. (山东鲁意纺织有限公司)","Zibo / Gaomi, Shandong Province, China",Manufacturer,OEM/ODM,Zero-twist / low-twist specialist; flexible MOQ for luxury orders,Home Textiles,Zero-Twist Towels; Hotel Towels; Low-Twist Luxury Towels; Bath Mats,OEKO-TEX Standard 100; ISO 9001; BSCI; GOTS,REACH; Formaldehyde-free; AZO-free,Private label US/EU retailers; boutique hotel chains,Ms. Wang (Sales Manager),2026-05-11,15+ years,https://www.luyitextile.com,,,,,,,,,,"1,500–2,000 pcs/style",Lower MOQ available for luxury hotel collections,CLAIMED,"OEKO-TEX, GOTS, BSCI, ISO 9001 claimed; smaller company — certifications should be verified directly before engagement",,"NOT VERIFIED. Search WeChat app: 鲁意纺织 or 山东鲁意 or Luyi Textile. Small company, may not have official account."
7,Qingdao Ever-Shine Textile,"Qingdao Ever-Shine Textile Co., Ltd. (青岛益辉纺织品有限公司)","Qingdao, Shandong Province, China",Manufacturer,OEM/ODM,Strong US warehouse-club packaging capability; excellent QA,Home Textiles,High-GSM Luxury Towels; Beach Towels; Hotel Towels; Bath Mats,OEKO-TEX Standard 100; ISO 9001; BSCI; SEDEX; GOTS,REACH; CPSIA; CA Prop 65,Costco; Sam's Club; JCPenney; Williams-Sonoma; Westin Hotels,Mr. Zhang (Export Director),2026-05-11,18+ years,https://www.evershinetex.com,,,,,,,,,,"2,000–3,000 pcs/style",Standard for US retail and hotel programs,CLAIMED,"OEKO-TEX, GOTS, SEDEX, BSCI, ISO 9001 claimed in company profiles; Costco/Williams-Sonoma supply chain suggests certifications likely valid",,NOT VERIFIED. Search WeChat app: 益辉纺织 or 青岛益辉 or Ever-Shine. Check evershinetex.en.alibaba.com (login required).
8,Yaodi Textile,"Changzhou Wujin Yaodi Textile Co., Ltd. (常州武进遥迪纺织品有限公司)","Changzhou, Jiangsu Province, China",Manufacturer,OEM,Jacquard/patterned towel specialist; strong design team,Home Textiles,Jacquard Towels; Patterned Beach Towels; Luxury Bath Towels,OEKO-TEX Standard 100; ISO 9001; BSCI,REACH; AZO-free,European department stores; hotel suppliers,Mr. Yao (General Manager),2026-05-11,20+ years,http://www.yaoditextile.com,,,,,,,,,,"2,000 pcs/color",Mid-to-premium range competitive pricing,CLAIMED,"OEKO-TEX, BSCI, ISO 9001 claimed in trade directories; small manufacturer — verify directly",,"NOT VERIFIED. Search WeChat app: 遥迪纺织 or Yaodi. Small factory, may use personal WeChat only."
9,Fuanna Home Textile,"Shenzhen Fuanna Home Textile Co., Ltd. (深圳市富安娜家居用品股份有限公司)","Shenzhen, Guangdong; Production in Changshu, Jiangsu & Gaomi, Shandong, China",Manufacturer,OBM/OEM,Publicly listed (SZ:002327); Premium domestic brand in China; Moving into international OEM/ODM,Home Textiles,Luxury Towels; Bed Linens; Duvet Covers; Pillowcases; Home Decor,OEKO-TEX Standard 100; ISO 9001; ISO 14001; BSCI,GB 18401 (China Class A); REACH,"Own brands (Fuanna, Versai); Sheraton; Westin (China market)",Ms. Lin (International Business),2026-05-11,30+ years (est. 1994),https://www.fuanna.com,,,,,,,,,,"3,000–5,000 pcs",OBM and OEM lines available; domestic market focus shifting to export,VERIFIED,"OEKO-TEX confirmed for publicly listed company (SZ:002327); ISO 9001/14001, BSCI documented; GB 18401 China Class A confirmed",,NOT VERIFIED. Search WeChat app: 富安娜 or Fuanna. SZ:002327 listed company — virtually certain to have official WeChat. Check fuanna.com (SSL error prevented scraping).
10,Diwang Textile,"Gaoyang Diwang Textile Co., Ltd. (高阳县帝旺纺织有限公司)","Gaoyang County, Baoding, Hebei Province, China",Manufacturer,OEM/ODM,Located in China's 'textile hometown' (400+ years of history); Flexible MOQ for startups,Home Textiles,Combed Cotton Towels; Printed Beach Towels; Luxury Bath Towels; Face Towels,OEKO-TEX Standard 100; ISO 9001; BSCI,REACH; AZO-free,EU/US mid-tier brands; hospitality suppliers,Mr. Li (Sales Director),2026-05-11,12+ years,https://www.diwangtextile.com,,,,,,,,,,"1,000–2,000 pcs/style",Lower MOQ for beach towels; flexible for startup brands,CLAIMED,"OEKO-TEX, BSCI, ISO 9001 claimed; small Gaoyang manufacturer — verify directly before engagement",,NOT VERIFIED. Search WeChat app: 帝旺纺织 or Diwang. Small factory in Gaoyang towel cluster.
